# Program,Gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total
'CRU','A',0,1,1,0,7,11,8,8,48
'BLA','A',0,1,1,1,13,14,2,4,54
'BLA','A',0,1,0,0,16,8,7,4,42
'BLA','B',1,0,1,1,9,16,10,10,66
'CRU','A',1,1,1,1,13,17,6,7,71
'BLA','A',1,0,0,0,7,5,5,15,39
'CRU','B',1,0,1,1,22,13,9,1,66
'CRU','A',0,1,1,0,6,12,19,7,58
'CRU','B',1,0,1,1,19,0,11,10,61
'BLA','A',0,0,1,1,11,12,13,9,59
'CRU','A',0,0,1,0,9,12,12,5,45
'BLA','A',0,0,1,0,8,4,13,3,35
'BLA','B',0,1,0,0,16,6,7,5,41
'BLA','B',1,0,1,1,7,7,10,1,46
'CRU','B',0,0,0,1,18,5,5,3,38
'CRU','A',1,0,0,1,19,7,18,0,58
'CRU','A',1,1,1,1,11,7,19,15,80
'BLA','B',1,1,0,1,9,6,8,7,51
'BLA','A',0,0,1,1,9,1,22,6,52
'BLA','A',0,0,0,0,6,16,5,8,35
'BLA','A',1,0,0,1,15,9,7,8,53
'BLA','B',0,1,1,0,7,13,16,5,55
'CRU','B',0,0,1,0,15,5,7,2,36
'CRU','A',0,1,0,0,17,19,4,1,48
'CRU','A',0,1,0,0,15,6,10,15,53
'CRU','A',1,0,1,1,7,2,14,12,56
'BLA','A',0,0,0,0,21,19,8,0,48
'CRU','B',0,0,1,1,17,13,8,10,62
'CRU','B',0,1,1,0,17,8,15,1,55
'BLA','B',1,0,1,1,11,0,9,15,56
'BLA','B',0,1,0,1,6,5,8,10,43
'BLA','A',0,0,1,0,16,6,18,16,63
'BLA','A',1,0,0,1,14,17,14,3,62
'CRU','B',1,1,1,0,20,7,1,1,50
'CRU','B',0,1,0,0,21,2,14,6,50
'CRU','A',0,0,0,0,20,15,14,5,54
'BLA','A',1,1,1,0,20,14,6,9,70
'BLA','A',0,0,1,0,11,15,2,4,39
'CRU','A',1,1,1,0,8,5,9,7,50
'CRU','B',0,1,0,1,23,2,13,10,62
'CRU','A',1,1,1,0,14,6,13,6,60
'BLA','A',1,1,1,0,6,9,15,20,71
'CRU','A',1,1,1,1,10,9,10,11,68
'CRU','A',0,1,1,1,14,10,1,1,47
'BLA','A',0,1,1,1,11,6,22,12,72
'CRU','B',1,1,0,0,10,11,6,1,42
'BLA','A',1,0,0,1,12,16,16,15,73
'CRU','A',1,1,1,1,18,2,14,12,74
'CRU','A',1,1,1,0,10,1,10,1,43
'CRU','B',1,0,1,0,24,13,12,2,65
'BLA','A',1,1,1,0,8,9,18,9,65
'BLA','B',1,0,0,1,10,10,9,9,52
'BLA','B',1,0,1,1,14,15,3,1,54
'CRU','A',1,1,1,1,23,11,16,17,95
'BLA','A',0,0,0,1,13,1,12,7,40
'CRU','B',1,0,0,0,9,8,10,1,35
'BLA','A',1,0,1,0,5,8,13,13,53
'BLA','A',0,0,0,0,6,8,16,4,34
'CRU','A',1,1,0,1,10,16,16,6,69
'CRU','B',1,1,0,0,14,13,9,3,53
'BLA','B',0,0,1,0,12,14,4,7,44
'BLA','B',1,0,1,1,7,14,10,4,56
'BLA','A',1,1,0,0,12,18,12,6,62
'BLA','B',1,0,0,1,8,9,9,8,48
'BLA','B',0,0,0,0,12,11,3,3,29
'CRU','A',1,1,1,1,3,10,18,8,67
'BLA','A',1,1,1,1,4,9,23,9,73
'BLA','A',0,1,1,1,3,14,15,7,60
'CRU','B',0,0,0,1,1,6,8,3,25
'BLA','A',1,0,0,0,9,13,5,1,35
'CRU','B',1,0,1,0,13,14,1,17,59
'BLA','B',1,1,0,0,11,3,11,4,43
'BLA','A',1,0,1,0,1,12,16,19,62
'CRU','B',0,0,0,1,14,19,14,7,61
'BLA','A',1,0,0,0,13,3,15,10,48
'CRU','B',0,0,1,1,5,13,7,3,42
'BLA','B',1,1,1,0,7,23,5,4,60
'CRU','B',1,1,1,1,0,19,7,1,55
'BLA','A',1,0,1,0,20,20,23,14,91
'CRU','A',0,0,1,1,15,5,11,16,61
'CRU','B',0,1,0,0,8,12,18,8,53
'BLA','A',1,1,0,0,7,6,21,1,49
'CRU','B',0,1,0,0,15,1,0,6,29
'CRU','A',1,1,1,0,9,11,17,12,70
'CRU','A',0,0,1,1,5,12,6,6,43
'BLA','A',1,0,1,1,13,11,21,5,71
'BLA','B',0,0,0,1,16,1,12,12,48
'CRU','B',0,0,0,0,10,22,9,4,45
'CRU','A',0,1,0,0,18,12,20,0,57
'BLA','B',0,1,0,0,12,5,1,6,31
'CRU','B',1,0,1,0,13,15,8,3,53
'CRU','A',1,1,1,1,9,5,11,2,55
'CRU','B',0,1,1,1,7,18,13,2,61
'BLA','A',0,0,0,0,4,9,8,6,27
'BLA','A',1,0,0,1,15,9,7,5,50
'BLA','B',1,0,1,0,3,11,8,2,38
'BLA','A',0,0,1,1,9,13,8,20,64
'BLA','A',1,0,0,1,9,17,1,3,44
'BLA','A',0,0,0,1,14,21,6,3,51
'CRU','A',1,0,1,1,11,8,13,3,56
'BLA','A',0,0,1,1,14,10,10,5,53
'BLA','A',1,1,1,0,18,14,12,4,69
'BLA','A',0,0,0,0,21,7,12,5,45
'BLA','A',0,1,0,1,19,1,14,4,52
'CRU','A',1,1,1,1,18,12,3,19,80
'CRU','A',1,1,1,0,14,10,20,19,84
'CRU','B',1,0,1,0,9,15,7,1,46
'CRU','B',1,1,0,1,23,19,10,6,79
'BLA','A',0,1,0,0,5,11,20,2,45
'CRU','B',0,0,1,1,14,8,6,15,57
'CRU','B',0,0,1,0,3,19,7,1,37
'BLA','A',0,0,0,0,4,18,6,4,32
'CRU','A',1,0,1,0,16,18,5,5,58
'BLA','A',1,1,1,0,10,14,6,6,57
'CRU','B',1,1,1,0,13,16,15,17,82
'BLA','B',1,0,1,1,15,18,3,2,59
'BLA','B',1,1,1,0,19,6,3,10,59
'CRU','B',1,1,1,1,8,13,15,2,66
'CRU','B',1,0,0,0,13,5,12,3,40
'BLA','A',1,1,1,0,10,7,13,13,64
'CRU','B',0,0,1,1,14,8,12,9,57
'BLA','A',0,1,0,0,8,11,18,6,50
'BLA','B',1,1,0,0,17,16,18,6,71
'CRU','B',0,1,0,0,8,21,9,3,48
'CRU','A',0,1,0,0,17,14,6,4,48
'CRU','B',1,0,1,0,11,8,3,4,40
